tribunal,classe_codigo,cnj_ano,N
TJMG,436,2011,20
TJMG,436,2012,13
TJMG,436,2013,18
TJMG,436,2014,20
TJMG,436,2015,51
TJMG,436,2016,49
TJMG,436,2017,36
TJMG,436,2018,41
TJMG,436,2019,23
TJMG,436,2020,40
TJMG,436,2021,31
TJMG,436,2022,27
TJMG,436,2023,26
TJMG,436,2024,35
TJMG,436,2025,28
TJMG,436,2026,17
TJPE,7,1999,1
TJPE,7,2006,4
TJPE,7,2007,2
TJPE,7,2008,2
TJPE,7,2009,3
TJPE,7,2010,5
TJPE,7,2011,3
TJPE,7,2012,7
TJPE,7,2013,7
TJPE,7,2014,14
TJPE,7,2015,14
TJPE,7,2016,22
TJPE,7,2017,29
TJPE,7,2018,26
TJPE,7,2019,30
TJPE,7,2020,37
TJPE,7,2021,44
TJPE,7,2022,38
TJPE,7,2023,45
TJPE,7,2024,49
TJPE,7,2025,72
TJPE,7,2026,46
TJPE,436,2000,1
TJPE,436,2009,1
TJPE,436,2010,2
TJPE,436,2011,8
TJPE,436,2012,5
TJPE,436,2013,19
TJPE,436,2014,11
TJPE,436,2015,3
TJPE,436,2016,4
TJPE,436,2017,5
TJPE,436,2018,12
TJPE,436,2019,44
TJPE,436,2020,56
TJPE,436,2021,59
TJPE,436,2022,52
TJPE,436,2023,67
TJPE,436,2024,59
TJPE,436,2025,50
TJPE,436,2026,42
TJPR,436,2005,1
TJPR,436,2007,1
TJPR,436,2008,1
TJPR,436,2010,3
TJPR,436,2011,5
TJPR,436,2012,5
TJPR,436,2013,7
TJPR,436,2014,17
TJPR,436,2015,22
TJPR,436,2016,15
TJPR,436,2017,32
TJPR,436,2018,28
TJPR,436,2019,43
TJPR,436,2020,48
TJPR,436,2021,43
TJPR,436,2022,35
TJPR,436,2023,33
TJPR,436,2024,55
TJPR,436,2025,62
TJPR,436,2026,44
TJRJ,7,1978,1
TJRJ,7,1982,1
TJRJ,7,1984,1
TJRJ,7,1989,1
TJRJ,7,1990,2
TJRJ,7,1991,1
TJRJ,7,1992,1
TJRJ,7,1994,2
TJRJ,7,1995,1
TJRJ,7,1996,2
TJRJ,7,1997,1
TJRJ,7,1998,2
TJRJ,7,1999,2
TJRJ,7,2001,1
TJRJ,7,2004,2
TJRJ,7,2005,2
TJRJ,7,2006,4
TJRJ,7,2007,5
TJRJ,7,2008,7
TJRJ,7,2009,5
TJRJ,7,2010,6
TJRJ,7,2011,5
TJRJ,7,2012,6
TJRJ,7,2013,9
TJRJ,7,2014,15
TJRJ,7,2015,9
TJRJ,7,2016,14
TJRJ,7,2017,34
TJRJ,7,2018,35
TJRJ,7,2019,40
TJRJ,7,2020,25
TJRJ,7,2021,35
TJRJ,7,2022,40
TJRJ,7,2023,47
TJRJ,7,2024,60
TJRJ,7,2025,53
TJRJ,7,2026,23
TJRJ,436,2000,1
TJRJ,436,2006,1
TJRJ,436,2007,1
TJRJ,436,2009,2
TJRJ,436,2014,1
TJRJ,436,2016,1
TJRJ,436,2017,3
TJRJ,436,2018,4
TJRJ,436,2019,66
TJRJ,436,2020,18
TJRJ,436,2021,76
TJRJ,436,2022,69
TJRJ,436,2023,66
TJRJ,436,2024,71
TJRJ,436,2025,75
TJRJ,436,2026,45
TJRS,7,2003,1
TJRS,7,2005,1
TJRS,7,2007,3
TJRS,7,2008,7
TJRS,7,2009,3
TJRS,7,2010,4
TJRS,7,2011,9
TJRS,7,2012,13
TJRS,7,2013,10
TJRS,7,2014,15
TJRS,7,2015,16
TJRS,7,2016,21
TJRS,7,2017,17
TJRS,7,2018,25
TJRS,7,2019,39
TJRS,7,2020,33
TJRS,7,2021,33
TJRS,7,2022,41
TJRS,7,2023,41
TJRS,7,2024,63
TJRS,7,2025,76
TJRS,7,2026,29
TJRS,436,2010,2
TJRS,436,2011,3
TJRS,436,2012,4
TJRS,436,2013,3
TJRS,436,2014,3
TJRS,436,2015,8
TJRS,436,2016,15
TJRS,436,2017,23
TJRS,436,2018,30
TJRS,436,2019,64
TJRS,436,2020,36
TJRS,436,2021,42
TJRS,436,2022,50
TJRS,436,2023,58
TJRS,436,2024,49
TJRS,436,2025,65
TJRS,436,2026,45
TJSC,7,1992,2
TJSC,7,1993,1
TJSC,7,1994,1
TJSC,7,1995,2
TJSC,7,1996,1
TJSC,7,2003,1
TJSC,7,2004,1
TJSC,7,2005,3
TJSC,7,2007,7
TJSC,7,2008,3
TJSC,7,2009,3
TJSC,7,2010,6
TJSC,7,2011,10
TJSC,7,2012,10
TJSC,7,2013,11
TJSC,7,2014,11
TJSC,7,2015,10
TJSC,7,2016,12
TJSC,7,2017,16
TJSC,7,2018,23
TJSC,7,2019,44
TJSC,7,2020,42
TJSC,7,2021,63
TJSC,7,2022,40
TJSC,7,2023,36
TJSC,7,2024,58
TJSC,7,2025,56
TJSC,7,2026,27
TJSC,436,2007,2
TJSC,436,2008,1
TJSC,436,2009,1
TJSC,436,2010,3
TJSC,436,2011,1
TJSC,436,2012,2
TJSC,436,2013,3
TJSC,436,2014,3
TJSC,436,2015,7
TJSC,436,2016,11
TJSC,436,2017,18
TJSC,436,2018,21
TJSC,436,2019,33
TJSC,436,2020,58
TJSC,436,2021,68
TJSC,436,2022,50
TJSC,436,2023,59
TJSC,436,2024,55
TJSC,436,2025,68
TJSC,436,2026,36
TJSP,7,1995,2
TJSP,7,1996,1
TJSP,7,1998,3
TJSP,7,2001,2
TJSP,7,2002,1
TJSP,7,2003,2
TJSP,7,2004,1
TJSP,7,2005,1
TJSP,7,2006,1
TJSP,7,2007,4
TJSP,7,2009,1
TJSP,7,2010,2
TJSP,7,2011,7
TJSP,7,2012,11
TJSP,7,2013,13
TJSP,7,2014,5
TJSP,7,2015,11
TJSP,7,2016,15
TJSP,7,2017,23
TJSP,7,2018,20
TJSP,7,2019,33
TJSP,7,2020,34
TJSP,7,2021,43
TJSP,7,2022,51
TJSP,7,2023,56
TJSP,7,2024,63
TJSP,7,2025,61
TJSP,7,2026,33
TJSP,436,1993,1
TJSP,436,1997,1
TJSP,436,2000,2
TJSP,436,2001,2
TJSP,436,2002,4
TJSP,436,2004,2
TJSP,436,2005,2
TJSP,436,2006,2
TJSP,436,2007,5
TJSP,436,2008,6
TJSP,436,2009,7
TJSP,436,2010,5
TJSP,436,2011,3
TJSP,436,2012,8
TJSP,436,2013,6
TJSP,436,2014,5
TJSP,436,2015,2
TJSP,436,2016,9
TJSP,436,2017,10
TJSP,436,2018,15
TJSP,436,2019,48
TJSP,436,2020,34
TJSP,436,2021,62
TJSP,436,2022,47
TJSP,436,2023,80
TJSP,436,2024,53
TJSP,436,2025,52
TJSP,436,2026,27
