codigo,codigo_pai,nome,situacao,nivel,tem_filhos,caminho
11795,385,Procedência do Pedido - Reconhecimento pelo réu,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Procedência do Pedido - Reconhecimento pelo réu
11796,385,Declaração de competência em conflito,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Declaração de competência em conflito
11801,973,Reparação do dano,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Extinção da Punibilidade ou da Pena > Reparação do dano
11876,385,Absolvição Sumária do art. 397-CPP,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Absolvição Sumária do art. 397-CPP
11877,385,Absolvição sumária - crimes dolosos contra a vida,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Absolvição sumária - crimes dolosos contra a vida
11878,973,Prescrição,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Extinção da Punibilidade ou da Pena > Prescrição
11879,973,Decadência ou perempção,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Extinção da Punibilidade ou da Pena > Decadência ou perempção
11975,25,Recurso Especial repetitivo,A,4,False,Magistrado > Decisão > Suspensão ou Sobrestamento > Recurso Especial repetitivo
11983,48,Retificação de movimento,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Retificação de movimento
12028,973,Cumprimento de transação penal,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Extinção da Punibilidade ou da Pena > Cumprimento de transação penal
12029,865,Recebe Teste,I,3,False,Serventuário > Arquivista > Recebe Teste
12032,210,Exequatur,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Concessão > Exequatur
12033,385,Sentença Estrangeira,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Sentença Estrangeira
12034,385,Exequatur,A,4,False,Magistrado > Julgamento > Com Resolução do Mérito > Exequatur
12035,160,Representação por ato infracional,A,4,False,Magistrado > Decisão > Recebimento > Representação por ato infracional
12036,138,Representação por ato infracional,A,4,False,Magistrado > Decisão > Rejeição > Representação por ato infracional
12037,1013,Quebra de sigilo fiscal,A,4,False,Magistrado > Decisão > Determinação > Quebra de sigilo fiscal
12038,1013,Quebra de sigilo bancário,A,4,False,Magistrado > Decisão > Determinação > Quebra de sigilo bancário
12039,1013,Quebra de sigilo telemático,A,4,False,Magistrado > Decisão > Determinação > Quebra de sigilo telemático
12040,1013,Indisponibilidade de bens,A,4,False,Magistrado > Decisão > Determinação > Indisponibilidade de bens
12041,210,Recuperação judicial,A,5,False,Magistrado > Julgamento > Com Resolução do Mérito > Concessão > Recuperação judicial
12065,48,Cumprimento de Suspensão ou Sobrestamento,I,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento de Suspensão ou Sobrestamento
12066,48,Cumprimento de Levantamento da Suspensão ,A,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Cumprimento de Levantamento da Suspensão 
12067,3,Levantamento da Suspensão ou Dessobrestamento,I,3,False,Magistrado > Decisão > Levantamento da Suspensão ou Dessobrestamento
12068,11009,Levantamento da Suspensão ou Dessobrestamento,I,3,False,Magistrado > Despacho > Levantamento da Suspensão ou Dessobrestamento
12092,3,Afetação ao rito dos recursos repetitivos ,A,3,False,Magistrado > Decisão > Afetação ao rito dos recursos repetitivos 
12093,3,Desafetação ao rito dos recursos repetitivos ,A,3,False,Magistrado > Decisão > Desafetação ao rito dos recursos repetitivos 
12094,206,Incidente de Resolução de demandas repetitivas (art. 981 e 982),A,4,False,Magistrado > Decisão > Admissão > Incidente de Resolução de demandas repetitivas (art. 981 e 982)
12095,207,Incidente de resolução de demandas repetitivas,A,4,False,Magistrado > Decisão > Não-Admissão > Incidente de resolução de demandas repetitivas
12096,206,Incidente de assunção de competência,A,4,False,Magistrado > Decisão > Admissão > Incidente de assunção de competência
12097,207,Incidente de assunção de competência ,A,4,False,Magistrado > Decisão > Não-Admissão > Incidente de assunção de competência 
12098,25,Incidente de Resolução de Demandas Repetitivas ,A,4,False,Magistrado > Decisão > Suspensão ou Sobrestamento > Incidente de Resolução de Demandas Repetitivas 
12099,25,Por decisão do Presidente do STJ - SIRDR,A,4,False,Magistrado > Decisão > Suspensão ou Sobrestamento > Por decisão do Presidente do STJ - SIRDR
12100,25,Por decisão do Presidente do STF  - SIRDR,A,4,False,Magistrado > Decisão > Suspensão ou Sobrestamento > Por decisão do Presidente do STF  - SIRDR
12101,48,Inclusão do processo para julgamento eletrônico,I,3,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Inclusão do processo para julgamento eletrônico
12102,48,"Adiamento do julgamento (CPC, art. 935)",I,3,False,"Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Adiamento do julgamento (CPC, art. 935)"
12103,48,Pauta,A,3,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta
12104,12103,Inclusão em pauta,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta
12105,12103,Inclusão em Pauta de Sessão Virtual,A,4,True,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual
12106,12103,Adiamento do Julgamento para a Primeira Sessão Seguinte,A,4,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Adiamento do Julgamento para a Primeira Sessão Seguinte
12107,12105,Para análise de repercussão geral,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em Pauta de Sessão Virtual > Para análise de repercussão geral
12108,12104,Para análise de repercussão geral,A,5,False,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Pauta > Inclusão em pauta > Para análise de repercussão geral
